Spanisch	Deutsch

¡Adiós!	Tschüss!
¡Bienvenido!	Herzlich Willkommen!
¡Buenas noches!	Gute Nacht
¡Buenas tardes!	Guten Tag, Guten Abend
¡Buenos días!	Guten Tag
¡Felicidades!	Herzlichen Glückwunsch!
¡Feliz Cumpleaños!	Herzlichen Glückwunsch zum Geburtstag!
¡Gracias!	Danke!
¡Hola!	Hallo!
¡No!	Nein!
¡Qué bien!	Wie schön!
¡Qué pena!	Wie schade!
¡Sí!	Ja
¡Vale!	Okay!, Einverstanden!, Alles klar!
¿A qué hora es?	Um wie viel Uhr?
¿Cómo llego a…?	Wie komme ich nach…?
¿Cómo te llamas?	Wie heißt du?
¿Cómo?	Wo?
¿Cuándo es tu cumpleaños?	Wann hast du Geburtstag?
¿Cuándo?	Wann?
¿Cuánto cuesta ...?	Wie viel kostet ...?
¿Cuántos años tienes?	Wie alt bist du?
¿De dónde eres?	Wo kommst du her?
¿Dónde está…?	Wo ist…?
¿Dónde?	Wo?
¿Por qué?	Warum?
¿Puedo ver el menú, por favor?	Kann ich bitte die Speisekarte haben?
¿Qué hora es?	Wie spät ist es?/ Wie viel Uhr ist es?
¿Qué tal?	Wie geht’s?
¿Qué?	Was?
¿Quién?	Wer?
a veces	manchmal
abajo	runter, unten
acampar	campen / zelten
acelerar	beschleunigen
acompañar	begleiten
admirable	bewundernswert
África	Afrika
agradable	angenehm
agradecido/a	dankbar
ahora	jetzt
al final	am Ende
al principio	am Anfang
alegrarse	sich freuen
aliviado/a	erleichtert
allí	dort
alquilar	mieten
alto/a	hoch
amable	liebenswürdig, freundlich
amarillo/a	gelb
ambos	beide
amigable	freundschaftlich
anoche	gestern Abend
anteayer	vorgestern
antiguo/a	alt, antik
aprender	lernen, erlernen
aquí	hier
arriba	hoch, oben
arrogante	arrogant
Asia	Asien
asustado/a	erschrocken
atento/a	aufmerksam
atrás	zurück
aunque	obwohl
automático/a	automatisch
avergonzado/a	verlegen, beschämt
ayer	gestern
azul	blau
bailar	tanzen
bajo	niedrig, klein
barato/a	billig
beige	beige
Belgien	Bélgica
bien	gut
blanco/a	weiß
bueno/a	gut
Bulgaria	Bulgarien
caliente	heiß
canoso/a	grauhaarig, graue Haare
cansado/a	müde
cantar	singen
cariñoso/a	liebevoll
caro/a	teuer
catastrófico/a	katastrophal
catorce	Vierzehn
celebrar	feiern
celoso/a	eifersüchtig
cerca	nah
cerca de	in der Nähe von
China	China
cien	Hundert
cinco	Fünf
cincuenta	Fünfzig
claro	klar
clásico/a	klassisch
cocinar	kochen
comer	essen
comestible	essbar
comprar algo	etw. kaufen
común	gemeinsam
con	mit
confiado/a	vertrauenswürdig
contento/a	froh, zufrieden
continuar	weitermachen
correr	laufen, rennen
corto/a	kurz
coser	nähen
cuarenta	Vierzig
cuarto/a	vierte(r)
cuatro	Vier
Cuídate.	Mach’s gut.
Dänemark	Dinamarca
dar	geben
dar igual	egal sein
dar un paseo	spazieren gehen
deber	sollen
decepcionado/a	enttäuscht
decir	sagen, erzählen
dejar	verlassen
derecha	rechts
desatento/a	unfreundlich
descuidado/a	nachlässig, schlampig
desesperado/a	verzweifelt
Deutschland	Alemania
devolver	zurückgeben
diecinueve	Neunzehn
dieciocho	Achtzehn
dieciséis	Sechszehn
diecisiete	Siebzehn
diez	Zehn
diferente	anders
difícil	schwer
disfrutar	genießen
divertido/a	lustig
doce	Zwölf
dorado/a	golden
dos	Zwei
dos mil	Zweitausend
doscientos	Zweihundert
durante	während
educado/a	höflich
él	er
el abogado/ la abogada	der/die Anwalt/-wältin
el abrazo	die Umarmung
el abrigo	die Jacke, der Mantel
