German	Spanish
nach, in, zu, um	 a (al, a la, a los, a las)
nach Hause, zu Hause	 a casa
in die Schule, in der Schule	 a la escuela
um fünf Uhr	 a las cinco
unten, herunter	 abajo
von oben nach unten	 de arriba abajo
der Mantel	 el abrigo
Juan trägt einen schwarzen Mantel	 Juan lleva un abrigo negro
der April	 abril (m.)
im April	 en abril
am/der 1. April	 el primero/uno de abril
am/der 15. April	 el quince de abril
öffnen, aufmachen	 abrir
öffne die Tür	 abre la puerta
öffne das Buch auf der Seite drei	 abre el libro en la página tres
offen	 abierto
der Großvater	 el abuelo
mein Großvater ist achtzig Jahre alt	 mi abuelo tiene ochenta años
die Großmutter	 la abuela
die Großeltern	 los abuelos
(be)enden, vollenden	 acabar
er beendete die Konferenz	 acabó la conferencia
ich verstehe einfach nicht	 no acabo de comprender
schließlich etw. tun	 acabar por
der Unfall	 el accidente
Verkehrsunfall	 accidente de circulación/tráfico/tránsito
das (Oliven)Öl	 el aceite
Öl wird zum Kochen verwendet	 el aceite se usa para cocinar
annehmen, akzeptieren	 aceptar
er nahm meine Einladung an	 aceptó mi invitación
raten	 aconsejar
ich rate Ihnen das nicht zu tun	 le aconsejo que no lo haga
zustimmen, einverstanden sein	 estar de acuerdo
ich bin nicht einverstanden	 no estoy de acuerdo
sich erinnern an	 acordarse de
ich erinnerne mich gut an deinen Vater	 me acuerdo bien de tu padre
ich erinnere mich nicht	 no me acuerdo
zu Bett/schlafen gehen	 acostarse
geh zu Bett!	 ¡acuéstate!
sich an etw. gewöhnen	 acostumbrarse de algo
er gewöhnte sich an diese schwere Arbeit	 se acostumbró a este trabajo
gewohnt sein	 estar acostumbrado
vorwärts, nach vorn	 adelante
herein!	 ¡adelante!
von jetzt an, ab jetzt	 de ahora en adelante
außerdem, ferner	 además
ich bin wütend und außerdem sehr enttäuscht	 estoy furioso y además muy desencantado
auf Wiedersehen	 adiós!
jm. auf Wiedersehen sagen	 decir adiós a alg.
Lebewohl sagen	 dar el adiós
wohin	 adónde
wohin gehen Sie?	 ¿adónde va Vd.?
der Zoll	 la aduana
Zollgebühren	 derechos de aduana
verzollen	 aduanar
warnen	 advertir
ich habe dich vor ihm gewarnt	 te he advertido contra él
der Flughafen	 el aeropuerto
am Flughafen müssen die Passagiere die Pässe vorzeigen	 al aeropuerto los pasajeros tienen que presentar los pasaportes
der Polizist	 el agente de policía
er wurde von einem Polizisten verhaftet	 fue detenido por un agente de policía
der August	 el agosto
im August	 en agosto
der/am 1. August	 el primero/uno de agosto
der/am 15. August	 el quince de agosto
das Wasser	 el agua
Mineralwasser	 el agua mineral
ein Glas Wasser	 un vaso de agua
dort	 ahí
dort herum	 por ahí
da hinauf	 ahí arriba
jetzt	 ahora
jetzt gleich	 ahora mismo
von jetzt an	 desde ahora
in Zukunft	 de ahora adelante
(sich) freuen, erfreuen	 alegra(se)
es freut mich, dass du kommst	 me alegro que vengas
Die Heiterkeit, die Fröhlichkeit	 la alegría
heiter, fröhlich	 alegre
Deutschland	 Alemania
deutsch	 alemán (m.), alemana (f.)
der Deutsche	 el alemán
er ist Deutscher	 es alemán
die Deutsche	 la alemana
sie ist Deutsche	 es alemana
der Teppich	 la alfombra
ich habe einen neuen Teppich gekauft	 he comprado una nueva alfombra
algo	 etwas
¿has visto algo como esto?	 hast du so etwas gesehen?
jemand, irgendjemand	 alguien
jemand möchte mit Ihnen sprechen	 alguien quiere hablar con Vd.
irgendein(er,e,es)	 alguno (m.) algún (vor männl. Sub. im Sing.) alguna (f.)
irgendeiner von ihnen	 alguno de ellos
irgendeiner von den Frauen	 alguna de las mujeres
gib mir irgendein Buch	 dame algún libro
einige	 algunos
ich habe einige Bücher von ihm gelesen	 he leído algunos libros de él
das Mittagessen	 el almuerzo
zu Mittag essen	 tomar (el) almuerzo
zu Mittag essen	 almorzar
